video_id,window_n,active_window_frac,max_peak_visual_gap,max_visual_minus_control,top_control_ratio,mean_control_ratio,top_dominance_margin,top_route,top_dominant_type,layout_window_count,action_window_count,low_window_count,category,top1_vs_uniform,scene_agent_time_rho,scene_agent_peak_apart,mean_visual_gap,max_visual_gap,all_n,all_mean_delta,matched_n,matched_mean_delta,matched_wins,matched_losses,matched_ties,unmatched_n,unmatched_mean_delta,run
0t0DB1B1w8Y_000000_000010,3,0.0,0.05543514813754713,0.0008107320730666445,1.8029774894212853,1.27517053745711,4.041465416954049e-05,static_ad_ok_low_gap,agent_action,0,0,3,Sports,1.6939587275706451,0.09728044500500976,1.0,0.03272520589509773,0.05543514813754713,5,0.1,1,0.5,1,0,0,4,0.0,crossjudge_opus17
1-jIze6gy0g_000026_000036,4,0.25,0.595758704526796,0.23241903048222395,0.1460119706020851,0.6218538202459561,0.2612939710026695,layout_replay_or_scene_cue,scene_spatial,1,0,3,How-to & Instructional,3.1047725660419117,0.35629823908829106,1.0,0.19188481341365787,0.595758704526796,5,0.0,1,0.0,0,0,1,4,0.0,crossjudge_opus17
3su234u58DA_000172_000182,4,0.5,0.7563181075466374,0.6908372024817462,0.08657852352272742,1.0107625011031471,0.6739017615964777,action_state_or_agent_cue,agent_action,0,2,2,Entertainment,3.912597614973138,-0.18717795982587704,1.0,0.19330331968007142,0.7563181075466374,5,0.0,1,0.0,0,0,1,4,0.0,crossjudge_opus17
3ufJNSez5Is_000008_000018,4,0.0,0.28478637695885756,0.04422477437429029,0.22230428135935143,1.3119580011708643,0.010260293165969658,static_ad_ok_low_gap,agent_action,0,0,4,How-to & Instructional,2.6481743668568756,0.6822960228603615,0.0,0.10754064404636283,0.28478637695885756,5,0.4,1,1.0,1,0,0,4,0.25,crossjudge_opus17
750QhTe9Z4U_000000_000010,4,0.25,0.4508565683102179,0.18997290009848666,0.036619541346859255,0.5893268011669915,0.006492309356914722,layout_replay_or_scene_cue,scene_spatial,1,0,3,People & Vlogs,2.907636274643665,0.8580088292566509,0.0,0.1550594798400192,0.4508565683102179,5,0.2,2,0.0,0,0,2,3,0.3333333333333333,crossjudge_opus17
8vkNr_eysXY_000002_000012,4,0.75,1.2667515246909897,0.9111544098417368,0.2807157583141627,0.31204804659551666,0.797136744736359,layout_replay_or_scene_cue,scene_spatial,3,0,1,How-to & Instructional,2.6442366430876856,0.8918033014839208,0.0,0.4790613306121493,1.2667515246909897,5,-0.1,1,0.0,0,0,1,4,-0.125,crossjudge_opus17
9eBhetL8n5Q_000222_000232,4,0.25,0.34703246003305044,0.18465452790431622,0.11526367348647315,0.5691113240815506,0.11541347787687117,layout_replay_or_scene_cue,scene_spatial,1,0,3,People & Vlogs,2.4528745860471792,0.691321356000156,1.0,0.14147990362291418,0.34703246003305044,5,0.0,1,0.0,0,0,1,4,0.0,crossjudge_opus17
A0e7Z55s8pE_000008_000018,3,0.0,0.3003551588281119,0.01578306627674142,0.679681829724925,1.4606543665960858,0.042090045632101114,static_ad_ok_low_gap,agent_action,0,0,3,How-to & Instructional,1.9309791934885905,0.6827256446166394,0.0,0.15554551796359717,0.3003551588281119,5,0.2,1,0.5,1,0,0,4,0.125,crossjudge_opus17
BcW6Y7eufQE_000239_000249,4,0.5,0.9195952474135034,0.33697686097955604,0.11950560508509141,0.6725502472709302,0.03213362884319376,action_state_or_agent_cue,agent_action,0,2,2,People & Vlogs,2.788718275895868,0.703112277445401,1.0,0.3297555207931808,0.9195952474135034,5,0.1,1,1.0,1,0,0,4,-0.125,crossjudge_opus17
Bss3WwpDdS8_000041_000051,4,0.0,0.24062910494528467,0.15924990082682244,0.1602081544499848,0.79119387205315,0.10751351131241169,static_ad_ok_low_gap,scene_spatial,0,0,4,People & Vlogs,1.337340631561196,-0.33536353265273433,1.0,0.1799310506735872,0.24062910494528467,5,0.0,2,0.0,0,0,2,3,0.0,crossjudge_opus17
