video_id,category,adqa_fail,ensemble_fail,clip_fail,t3_lost_any,mean_visual_gap,max_visual_gap,mean_scene_spatial_gap,mean_agent_action_gap,top1_vs_uniform,top1_share,scene_agent_peak_apart,route_scene_spatial,route_agent_action,accessibility_gap,description_loss,alignment_loss,duration_s,tier3_word_count,tier3_words_per_sec,transcript_word_count,transcript_words_per_sec,transcript_unique_ratio,transcript_sound_cue_count,transcript_char_count,transcript_available,category_loo_adqa_fail_rate,category_loo_ensemble_fail_rate,category_loo_clip_fail_rate,category_loo_t3_lost_any_rate
0m0-Q0zz_-c_000112_000122,How-to & Instructional,0,0,1,0,0.26749466598269644,1.0014171641982383,0.2630581752650346,0.1430606255393342,3.7436902172210695,0.3403354742928245,0.0,1,0,0.06007087608244499,0.09042841386298583,0.18700011539888928,10.0,57,5.7,26,2.6,0.8076923076923077,0,124,1,0.3,0.05,0.25,0.05
0t0DB1B1w8Y_000000_000010,Sports,0,0,0,0,0.03272520589509773,0.05543514813754713,0.02802413344338635,0.01974022050366146,1.6939587275706451,0.2823264545951075,1.0,1,0,0.07205117390908244,0.530134258543014,1.0,10.0,53,5.3,0,0.0,0.0,0,22,1,0.0,0.0,0.4,0.0
1-jIze6gy0g_000026_000036,How-to & Instructional,1,0,0,0,0.19188481341365787,0.595758704526796,0.19188481341365787,0.06474103596847772,3.1047725660419117,0.3104772566041912,1.0,1,0,0.18127637388283402,0.6960325611427942,1.0,10.0,62,6.2,4,0.4,1.0,0,23,1,0.25,0.05,0.3,0.05
1HUWWCLza0w_000000_000010,Sports,0,0,1,0,0.3700086369131312,1.368165970638435,0.25387718764256445,0.23006589383980852,3.6976595520921487,0.4108510613435721,1.0,1,0,0.13448063106879748,0.25827869415906424,0.025233406220980026,10.0,64,6.4,5,0.5,1.0,0,58,1,0.0,0.0,0.2,0.0
1YemrpNBpf4_000001_000011,Entertainment,1,0,1,0,0.2593689352602941,0.7834556265811858,0.11122721182434878,0.20465222906699237,3.02062244190861,0.30206224419086103,1.0,0,1,0.14508910167583222,0.14497626938464525,0.019741593306308758,10.0,49,4.9,26,2.6,0.6923076923076923,0,130,1,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.3333333333333333
1kLhK8KfIEw_000020_000030,How-to & Instructional,1,0,0,0,0.29248868425036373,0.38394841934619484,0.29248868425036373,0.11896899872599578,1.3126949520465674,0.13126949520465675,0.0,1,0,0.3315123449046128,0.47696340627222894,1.0,10.0,34,3.4,0,0.0,0.0,0,13,1,0.25,0.05,0.3,0.05
21T1JDdJgsM_000047_000057,Entertainment,0,0,1,1,0.19655998774942185,0.6462093690891746,0.15575024210636115,0.10778199090510557,3.2875936577335043,0.29887215070304585,1.0,1,0,0.09763596318416057,0.5321488745773904,0.010255198150925016,10.0,54,5.4,6,0.6,1.0,0,28,1,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.2222222222222222
2kJxrcNRS9w_000047_000057,Sports,0,0,0,0,0.42775132100150925,0.7995618815521248,0.42775132100150925,0.11310959264680388,1.8692213028824372,0.16992920935294883,1.0,1,0,0.20958406116872852,0.53602844955149,1.0,10.0,40,4.0,0,0.0,0.0,0,0,0,0.0,0.0,0.4,0.0
3su234u58DA_000172_000182,Entertainment,0,0,0,0,0.19330331968007142,0.7563181075466374,0.1051281239039005,0.12940455322870406,3.912597614973138,0.35569069227028527,1.0,0,1,0.09881634712057208,0.25611923001816705,0.04106759290129014,10.0,80,8.0,12,1.2,0.9166666666666666,0,57,1,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.3333333333333333
3ufJNSez5Is_000008_000018,How-to & Instructional,0,0,1,0,0.10754064404636283,0.28478637695885756,0.099456805896421,0.04119598666472411,2.6481743668568756,0.2648174366856876,0.0,1,0,0.11843659178237897,0.2785223001738416,0.001608177410134859,10.0,61,6.1,7,0.7,1.0,0,39,1,0.3,0.05,0.25,0.05
750QhTe9Z4U_000000_000010,People & Vlogs,0,0,0,0,0.1550594798400192,0.4508565683102179,0.14900794577411744,0.07495325746907508,2.907636274643665,0.2907636274643665,0.0,1,0,0.14713961311655743,0.3529094155897128,0.0019744623378331605,10.0,59,5.9,7,0.7,1.0,0,50,1,0.0,0.0,0.42857142857142855,0.0
8vkNr_eysXY_000002_000012,How-to & Instructional,1,0,1,0,0.4790613306121493,1.2667515246909897,0.4790613306121493,0.12145287260198809,2.6442366430876856,0.26442366430876857,0.0,1,0,0.28544253278590037,0.12110402162713141,0.013091640047380504,10.0,53,5.3,0,0.0,0.0,0,20,1,0.25,0.05,0.25,0.05
9eBhetL8n5Q_000222_000232,People & Vlogs,0,0,0,0,0.14147990362291418,0.34703246003305044,0.14147990362291418,0.0678379467042974,2.4528745860471792,0.22298859873156174,1.0,1,0,0.08706709611323915,0.049417324571880195,0.026072593450665926,10.0,75,7.5,42,4.2,0.6666666666666666,0,195,1,0.0,0.0,0.42857142857142855,0.0
9fuIpQgnNEQ_000049_000059,Event,0,0,0,0,0.08256238289820637,0.43344505795107424,0.05882426491212691,0.05752106515519934,5.249909737773455,0.4772645216157687,1.0,1,0,0.059317410929392245,0.3498371936054525,1.957323192414151e-12,10.0,52,5.2,17,1.7,0.8235294117647058,0,91,1,0.0,0.0,0.5,0.0
A0e7Z55s8pE_000008_000018,How-to & Instructional,0,0,0,0,0.15554551796359717,0.3003551588281119,0.13791756343218625,0.11604746470407722,1.9309791934885905,0.32182986558143173,0.0,1,0,0.20038740685368284,0.21432209918925038,0.015937988380713586,10.0,42,4.2,0,0.0,0.0,0,45,1,0.3,0.05,0.3,0.05
AEkLDauJVi0_000069_000079,Food & Cooking,0,0,0,0,0.2749336523151358,0.41823743215332343,0.2749336523151358,0.07217754391364094,1.5212304082511126,0.13829367347737387,0.0,1,0,0.2927704809327547,0.07002787703105784,0.004364958299488353,10.0,58,5.8,6,0.6,0.8333333333333334,0,34,1,0.0,0.0,0.0,0.0
BHxn3qfPAl4_000018_000028,Health & Wellness,0,0,1,1,0.3167171812470297,1.0809082613645236,0.1913578916463933,0.25188493110018567,3.4128500926555296,0.341285009265553,1.0,0,1,0.24304902467431522,0.44231971182387236,1.0,10.0,37,3.7,4,0.4,1.0,0,23,1,0.0,0.0,0.0,0.3333333333333333
BcW6Y7eufQE_000239_000249,People & Vlogs,0,0,0,0,0.3297555207931808,0.9195952474135034,0.2456306057146886,0.2373552512804249,2.788718275895868,0.25351984326326077,1.0,1,0,0.1366415140927154,0.08231350089335776,0.010494729984571793,10.0,52,5.2,20,2.0,0.95,0,90,1,0.0,0.0,0.42857142857142855,0.0
Bss3WwpDdS8_000041_000051,People & Vlogs,0,0,0,0,0.1799310506735872,0.24062910494528467,0.16643212009067987,0.05701558030274665,1.337340631561196,0.12157642105101782,1.0,1,0,0.08183499042899356,0.27074525945690897,0.003108447003995707,10.0,84,8.4,7,0.7,1.0,0,34,1,0.0,0.0,0.42857142857142855,0.0
Ccgwurislg8_000082_000092,How-to & Instructional,1,0,1,0,0.1984037632041385,0.6006253530729058,0.1984037632041385,0.09171639205059266,3.027288108718582,0.3027288108718582,1.0,1,0,0.26079431953837284,0.29950687525160175,1.0,10.0,49,4.9,4,0.4,1.0,0,23,1,0.25,0.05,0.25,0.05
D297atE3gag_000203_000213,How-to & Instructional,0,0,0,0,0.1299239569883623,0.39717339339819524,0.09297377049501108,0.12727928998342536,3.0569681112296423,0.30569681112296426,0.0,0,1,0.08751459644998993,0.015457330812422954,0.03025632912151832,10.0,69,6.9,31,3.1,0.8387096774193549,0,165,1,0.3,0.05,0.3,0.05
EA3HCx0yTIY_000281_000291,Music,0,0,0,0,0.7485097452540056,1.1738605590729794,0.4101038012946667,0.6210217691996367,1.5682635617184006,0.14256941470167278,1.0,0,1,0.24461457565097622,1.040706060420204,1.0,10.0,37,3.7,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0
